dataset,method,bin,dev,test
codex,EMBED (RR),7,1.0578209608793259,1.0302118951001682
codex,EMBED (RR),8,1.0438113063573837,1.023180685433987
codex,EMBED (RR),9,1.028443194925785,1.0051952188683522
codex,LESS (RR),0,0.8415595963597298,0.9114143119470494
codex,LESS (RR),1,0.9921983331441879,0.9874115286243929
codex,LESS (RR),2,1.0177671909332275,0.9949833489954472
codex,LESS (RR),3,1.019741915166378,1.013121266824168
codex,LESS (RR),4,1.0404507592320442,1.0199785716831684
codex,LESS (RR),5,1.0516343750059605,1.030433222148064
codex,LESS (RR),6,1.065797083079815,1.044471741830175
codex,LESS (RR),7,1.0679865516722202,1.0408281348645687
codex,LESS (RR),8,1.0824052169919014,1.05722317522442
codex,LESS (RR),9,1.0860822424292564,1.0552170224286415
codex,RDS+ (RR),0,1.085051704198122,1.0928222893460378
codex,RDS+ (RR),1,1.0185592733323574,1.0160342464978631
codex,RDS+ (RR),2,1.024784978479147,1.0062386234467093
codex,RDS+ (RR),3,0.991704311221838,0.9805768872233661
codex,RDS+ (RR),4,1.0143591612577438,0.997212904228552
codex,RDS+ (RR),5,1.0485463701188564,1.0253324781519335
codex,RDS+ (RR),6,1.0799532271921635,1.0574224291218293
codex,RDS+ (RR),7,1.0674161054193974,1.0467330666409957
codex,RDS+ (RR),8,1.055920284241438,1.0370148880457557
codex,RDS+ (RR),9,1.014441378414631,1.0065649825374823
gsm8k,EMBED (RR),0,0.8318307884037495,4.058407774651204
gsm8k,EMBED (RR),1,0.9635648056864738,3.1613058523303907
gsm8k,EMBED (RR),2,0.9644543528556824,3.187632410023771
gsm8k,EMBED (RR),3,0.9520128667354584,3.2225819812569316
gsm8k,EMBED (RR),4,0.9095849022269249,3.6781336006745864
gsm8k,EMBED (RR),5,0.9047544747591019,3.8066195237808285
gsm8k,EMBED (RR),6,0.9373127296566963,3.835143864832655
gsm8k,EMBED (RR),7,0.9342488050460815,3.6913419974582315
gsm8k,EMBED (RR),8,0.9451981335878372,3.450946253027493
gsm8k,EMBED (RR),9,0.9937983155250549,4.203283109748066
gsm8k,LESS (RR),0,0.6996956430375576,4.606921516827691
gsm8k,LESS (RR),1,0.8814369291067123,3.358059383595505
gsm8k,LESS (RR),2,0.8711890205740929,3.35806939021668
gsm8k,LESS (RR),3,0.9113653600215912,3.2450549087350886
gsm8k,LESS (RR),4,0.9045523405075073,3.2168469226568193
gsm8k,LESS (RR),5,0.91744264960289,3.4786389712766774
gsm8k,LESS (RR),6,0.9361519068479538,3.4736109513780944
gsm8k,LESS (RR),7,0.9480156376957893,3.6826636322164643
gsm8k,LESS (RR),8,0.9796758815646172,3.726025838396421
gsm8k,LESS (RR),9,1.0106460452079773,3.7306937313694406
gsm8k,RDS+ (RR),0,0.8111227825284004,4.609631827060158
gsm8k,RDS+ (RR),1,0.9449943825602531,3.4004378226600513
gsm8k,RDS+ (RR),2,0.9629150480031967,3.206862800856989
gsm8k,RDS+ (RR),3,0.9458147659897804,3.507998024179142
gsm8k,RDS+ (RR),4,0.9413532465696335,3.6793979231926235
gsm8k,RDS+ (RR),5,0.9336671233177185,3.95155045613816
gsm8k,RDS+ (RR),6,0.9498088881373405,3.8154705755632876
gsm8k,RDS+ (RR),7,0.9429640546441078,3.4461032974620585
gsm8k,RDS+ (RR),8,0.9680323302745819,3.5421952928350766
gsm8k,RDS+ (RR),9,0.9651755765080452,3.891186584027271
mmlu_pro,EMBED (RR),0,1.917321583202907,10.754084831143313
mmlu_pro,EMBED (RR),1,1.890385968344552,9.985048605129123
mmlu_pro,EMBED (RR),2,1.8691643706389836,9.570779863309037
mmlu_pro,EMBED (RR),3,1.8628326228686742,9.145613111000745
mmlu_pro,EMBED (RR),4,1.8683498280388968,9.565569408356826
mmlu_pro,EMBED (RR),5,1.8617972476141793,8.990598174366863
mmlu_pro,EMBED (RR),6,1.8633341022900172,8.651624690503516
mmlu_pro,EMBED (RR),7,1.8686128514153617,8.873080123414068
mmlu_pro,EMBED (RR),8,1.8879562309810094,9.568396930800791
mmlu_pro,EMBED (RR),9,1.8850585903440202,9.221286610244437
mmlu_pro,LESS (RR),0,1.7776891384805953,9.433219211572345
mmlu_pro,LESS (RR),1,1.8271807960101536,7.957746429884053
mmlu_pro,LESS (RR),2,1.8431446765150343,8.164176067575179
mmlu_pro,LESS (RR),3,1.8493090212345122,8.7021137380061
mmlu_pro,LESS (RR),4,1.866095828158515,9.16149818988398
mmlu_pro,LESS (RR),5,1.8681328322206225,9.479205867830427
mmlu_pro,LESS (RR),6,1.8871512115001678,9.91962393325694
mmlu_pro,LESS (RR),7,1.8911902563912528,10.103057922359477
mmlu_pro,LESS (RR),8,1.9053166721548354,10.083275395742756
mmlu_pro,LESS (RR),9,1.9157693786280496,10.37722069306418
mmlu_pro,RDS+ (RR),0,1.8782237597874232,10.141031120844344
mmlu_pro,RDS+ (RR),1,1.8704246887138911,10.150406918864935
mmlu_pro,RDS+ (RR),2,1.8923595462526595,9.862945304589068
mmlu_pro,RDS+ (RR),3,1.872633581502097,9.379949043524709
mmlu_pro,RDS+ (RR),4,1.8715204281466349,9.001573487482172
mmlu_pro,RDS+ (RR),5,1.8703414355005537,8.826535398853903
mmlu_pro,RDS+ (RR),6,1.8620181202888488,9.405154936610067
mmlu_pro,RDS+ (RR),7,1.8723633587360382,9.7035043308551
mmlu_pro,RDS+ (RR),8,1.8737136500222342,9.251976577089504
mmlu_pro,RDS+ (RR),9,1.911292769227709,9.300380543983998
tydiqa,EMBED (RR),0,1.117031842470169,0.9850505685409164
tydiqa,EMBED (RR),1,0.9822192655669318,1.0115417792691663
tydiqa,EMBED (RR),2,1.088302903705173,1.0845543416097734
tydiqa,EMBED (RR),3,1.065668182240592,1.128623855671346
tydiqa,EMBED (RR),4,1.059750884771347,1.0807162119453175
tydiqa,EMBED (RR),5,1.2943266034126282,1.2065560512409064
tydiqa,EMBED (RR),6,1.2944054471121893,1.2214724647821533
tydiqa,EMBED (RR),7,1.3398948113123577,1.244785525653895
tydiqa,EMBED (RR),8,1.4268175760904949,1.2751289001389565
tydiqa,EMBED (RR),9,1.5036917527516682,1.3069012412558878
tydiqa,LESS (RR),0,0.43874164629313683,0.7655625052545392
tydiqa,LESS (RR),1,0.7055215305752225,0.9017782074813683
tydiqa,LESS (RR),2,0.9442785183588663,1.0039624554791717
tydiqa,LESS (RR),3,1.0748784442742665,1.0788352578329552
tydiqa,LESS (RR),4,1.2075617379612393,1.1509092335881081
tydiqa,LESS (RR),5,1.3505949079990387,1.2657234809657287
tydiqa,LESS (RR),6,1.420614351828893,1.3063826536253809
tydiqa,LESS (RR),7,1.4838960468769073,1.3761562273891006
tydiqa,LESS (RR),8,1.5467325780126784,1.3913383399482515
tydiqa,LESS (RR),9,1.6424461404482524,1.4516493535729194
tydiqa,RDS+ (RR),0,1.043100741174486,0.9733071625482175
tydiqa,RDS+ (RR),1,1.1967826286951702,1.1107571793660325
tydiqa,RDS+ (RR),2,1.0863323509693146,1.1450104102336776
tydiqa,RDS+ (RR),3,1.0742950439453125,1.1714010787740723
tydiqa,RDS+ (RR),4,1.1935748755931854,1.2059035195004337
tydiqa,RDS+ (RR),5,1.1524917516443465,1.1435110161008681
tydiqa,RDS+ (RR),6,1.2349561949570973,1.2128370803840838
tydiqa,RDS+ (RR),7,1.3825172285238903,1.2830556103325346
tydiqa,RDS+ (RR),8,1.3062691754764981,1.1919967795789876
tydiqa,RDS+ (RR),9,1.5485008259614308,1.294560003499593
